studentID,Timestamp,Username,caseID (e.g. nbm6) ,First Name,Last Name,LAB – TBC2 – TBC3 – TBC1,TBC2 – LAB – TBC1 – TBC3,TBC3 – TBC1 – LAB – TBC2,TBC1 – TBC3 – TBC2 – LAB,optimal_rotation,rotation_order
67,2024/01/31 9:13:35 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
68,2024/02/01 2:55:21 PM EST,,,,,0,20,4,0,Option 1,LAB – TBC2 – TBC3 – TBC1
69,2024/02/02 12:19:21 AM EST,,,,,0,1,13,10,Option 1,LAB – TBC2 – TBC3 – TBC1
70,2024/01/28 3:15:46 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
71,2024/01/28 6:16:19 PM EST,,,,,0,0,0,24,Option 1,LAB – TBC2 – TBC3 – TBC1
72,2024/01/25 9:22:51 PM EST,,,,,6,0,12,6,Option 1,LAB – TBC2 – TBC3 – TBC1
73,2024/02/02 10:58:41 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
74,2024/02/02 12:56:11 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
75,2024/02/01 11:45:45 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
76,2024/01/25 8:28:28 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
77,2024/01/31 10:01:40 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
